Entry ID,Contest Name,Contest ID,Entry Fee,CPT,UTIL,UTIL,UTIL,UTIL,UTIL,,Instructions
3730328529,NBA Showdown $4K Sharpshooter (MIA vs MIL),143639444,$3,Jimmy Butler (27542590),Bam Adebayo (27542559),Jrue Holiday (27542557),Khris Middleton (27542558),Victor Oladipo (27542570),Gabe Vincent (27542566),,1. Column A lists all of your contest entries for this draftgroup
3730992860,NBA Showdown $4K Sharpshooter (MIA vs MIL),143639444,$3,,,,,,,,2. Your current lineup is listed next to each entry (blank for reservations)
3730992861,NBA Showdown $4K Sharpshooter (MIA vs MIL),143639444,$3,,,,,,,,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry
3730992862,NBA Showdown $4K Sharpshooter (MIA vs MIL),143639444,$3,,,,,,,,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name
3730992863,NBA Showdown $4K Sharpshooter (MIA vs MIL),143639444,$3,,,,,,,,5. For faster processing only include entries you are changing in the file you upload
3730992864,NBA Showdown $4K Sharpshooter (MIA vs MIL),143639444,$3,,,,,,,,
3730992865,NBA Showdown $4K Sharpshooter (MIA vs MIL),143639444,$3,,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
,,,,,,,,,,,C,Omer Yurtseven (27542611),Omer Yurtseven,27542611,CPT,3000,MIA@MIL 04/19/2023 09:00PM ET,MIA,8.81
,,,,,,,,,,,PF,Thanasis Antetokounmpo (27542612),Thanasis Antetokounmpo,27542612,CPT,2700,MIA@MIL 04/19/2023 09:00PM ET,MIL,3.64
,,,,,,,,,,,SG,Jamal Cain (27542574),Jamal Cain,27542574,UTIL,2600,MIA@MIL 04/19/2023 09:00PM ET,MIA,11.42
,,,,,,,,,,,C,Udonis Haslem (27542575),Udonis Haslem,27542575,UTIL,2400,MIA@MIL 04/19/2023 09:00PM ET,MIA,6.82
,,,,,,,,,,,SF,Marjon Beauchamp (27542613),Marjon Beauchamp,27542613,CPT,2400,MIA@MIL 04/19/2023 09:00PM ET,MIL,9.99
,,,,,,,,,,,C,Meyers Leonard (27542576),Meyers Leonard,27542576,UTIL,2200,MIA@MIL 04/19/2023 09:00PM ET,MIL,10.33
,,,,,,,,,,,SF/PF,Haywood Highsmith (27542614),Haywood Highsmith,27542614,CPT,2100,MIA@MIL 04/19/2023 09:00PM ET,MIA,11.86
,,,,,,,,,,,PF,Duncan Robinson (27542615),Duncan Robinson,27542615,CPT,2100,MIA@MIL 04/19/2023 09:00PM ET,MIA,11.01
,,,,,,,,,,,C,Omer Yurtseven (27542577),Omer Yurtseven,27542577,UTIL,2000,MIA@MIL 04/19/2023 09:00PM ET,MIA,8.81
,,,,,,,,,,,PF,Thanasis Antetokounmpo (27542578),Thanasis Antetokounmpo,27542578,UTIL,1800,MIA@MIL 04/19/2023 09:00PM ET,MIL,3.64
,,,,,,,,,,,PG,Lindell Wigginton (27542616),Lindell Wigginton,27542616,CPT,1800,MIA@MIL 04/19/2023 09:00PM ET,MIL,11.75
,,,,,,,,,,,PG,AJ Green (27542617),AJ Green,27542617,CPT,1800,MIA@MIL 04/19/2023 09:00PM ET,MIL,7.79
,,,,,,,,,,,SF,Marjon Beauchamp (27542579),Marjon Beauchamp,27542579,UTIL,1600,MIA@MIL 04/19/2023 09:00PM ET,MIL,9.99
,,,,,,,,,,,PG/SG,Tyler Herro (27542618),Tyler Herro,27542618,CPT,1500,MIA@MIL 04/19/2023 09:00PM ET,MIA,35.39
,,,,,,,,,,,PG,Goran Dragic (27542619),Goran Dragic,27542619,CPT,1500,MIA@MIL 04/19/2023 09:00PM ET,MIL,12.44
,,,,,,,,,,,C,Orlando Robinson (27542620),Orlando Robinson,27542620,CPT,1500,MIA@MIL 04/19/2023 09:00PM ET,MIA,11.32
,,,,,,,,,,,C,Cody Zeller (27542621),Cody Zeller,27542621,CPT,1500,MIA@MIL 04/19/2023 09:00PM ET,MIA,12.86
,,,,,,,,,,,C,Nikola Jovic (27542622),Nikola Jovic,27542622,CPT,1500,MIA@MIL 04/19/2023 09:00PM ET,MIA,10.18
,,,,,,,,,,,SF/PF,Haywood Highsmith (27542580),Haywood Highsmith,27542580,UTIL,1400,MIA@MIL 04/19/2023 09:00PM ET,MIA,11.86
,,,,,,,,,,,PF,Duncan Robinson (27542581),Duncan Robinson,27542581,UTIL,1400,MIA@MIL 04/19/2023 09:00PM ET,MIA,11.01
,,,,,,,,,,,PG,Lindell Wigginton (27542582),Lindell Wigginton,27542582,UTIL,1200,MIA@MIL 04/19/2023 09:00PM ET,MIL,11.75
,,,,,,,,,,,PG,AJ Green (27542583),AJ Green,27542583,UTIL,1200,MIA@MIL 04/19/2023 09:00PM ET,MIL,7.79
,,,,,,,,,,,PG/SG,Tyler Herro (27542584),Tyler Herro,27542584,UTIL,1000,MIA@MIL 04/19/2023 09:00PM ET,MIA,35.39
,,,,,,,,,,,PG,Goran Dragic (27542585),Goran Dragic,27542585,UTIL,1000,MIA@MIL 04/19/2023 09:00PM ET,MIL,12.44
,,,,,,,,,,,C,Orlando Robinson (27542586),Orlando Robinson,27542586,UTIL,1000,MIA@MIL 04/19/2023 09:00PM ET,MIA,11.32
,,,,,,,,,,,C,Cody Zeller (27542587),Cody Zeller,27542587,UTIL,1000,MIA@MIL 04/19/2023 09:00PM ET,MIA,12.86
,,,,,,,,,,,C,Nikola Jovic (27542588),Nikola Jovic,27542588,UTIL,1000,MIA@MIL 04/19/2023 09:00PM ET,MIA,10.18
